;artist_name;link;nationality;birth;demise
0;Aachen, Hans von;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=5566;German;1552;1615
1;Abakanowicz, Magdalena;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10278;Polish;born 1930;Unknown
2;Abate, Niccolò dell';https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474;Italian;1509 or 1512;1571
3;Abbate, Niccolò dell';https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474;Italian;1509 or 1512;1571
4;Abbati, Pietro Giovanni;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=21155;Italian;active 1700/1710;Unknown
5;Abbatini, Guido Ubaldo;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=19745;Italian;c. 1600;1656
6;Abbe, Elfriede Martha;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2855;American;born 1919;Unknown
7;Abbé, Salomon van;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2856;British;1883;1955
8;Abbe, William Parker;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33127;American;1916;1983
9;Abbey, Edwin Austin;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2337;American;1852;1911
10;Abbiati, Giuseppe;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=14725;Italian;active 1730s;Unknown
11;Abbott, Berenice;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=13553;American;1898;1991
12;Abbott, John White;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10979;British;1763;1851
13;Abbott, Lemuel Francis;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=22;British;c. 1755/1761;1802
14;Abe, Nobuya;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2857;Japanese;born 1913;Unknown
15;Abel, Mike;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210;American;1904;1946
16;Abel, Myer;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210;American;1904;1946
17;Abelman, Ida York;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33106;American;born 1910;Unknown
18;Abels, Jacobus Theodorus;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2338;Dutch;1803;1866
19;Abel-Truchet;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=17830;French;1857;1919
20;Aberdeen, Harry G.;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=7194;American;active c. 1935;Unknown
21;Abondio, Antonio;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2006;Italian;1538;1591
22;Abraham, Tancrède;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2858;French;1836;1895
23;Abrahami, Elie;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=12430;Iranian;born 1941;Unknown
24;Abramovitz, Albert;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33107;Russian;1879;1963
25;Abramowitz, Ben;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34328;American;1917;2011
26;Abramowitz, Benjamin;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34328;American;1917;2011
27;Abrams, Ross;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2859;American;born 1920;Unknown
28;Abrams, Ruth;https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=7195;American;active c. 1935;Unknown
29;Abrams, William Ross;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2859;American;born 1920;Unknown
30;Abranos, Nino;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2860;Italian;active 1955;Unknown
31;Abreu, Angel;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=22928;Unknown;Unknown;Unknown
32;Abts, Tomma;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=35991;German;born 1967;Unknown
33;Abularach, Rodolfo;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2861;Guatemalan;born 1933;Unknown
34;Acampora, Nicholas;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=7196;American;active c. 1935;Unknown
35;Acconci, Vito;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6509;American;born 1940;Unknown
36;Achen, Johann von;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=5566;German;1552;1615
37;Achenbach, Hans;https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2862;German;born 1891;Unknown
